id,shannon,evenness,site,treatment,year,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp,cala_cover,cala_cover_rel
DUC_0_2015,1.6647375172607521,0.6147365793230802,DUC,0,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.3,0.9036144578313252
DUC_0_2016,1.819968786469802,0.6423691284272345,DUC,0,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.35,1.0385756676557862
DUC_1_2014,2.10778438899828,0.6722335440104373,DUC,1,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.25,0.5470459518599562
DUC_1_2015,2.1670859217118568,0.64356861740911,DUC,1,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.45,0.8411214953271028
DUC_1_2016,2.55852285957987,0.7598152905948116,DUC,1,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.25,0.4520795660036166
DUC_2_2014,2.700714780274611,0.8104889036755462,DUC,2,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.1,0.129366106080207
DUC_2_2015,2.8928066165791573,0.8072530566352936,DUC,2,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.1,0.1187648456057007
DUC_2_2016,2.7086452210610887,0.7558618407157229,DUC,2,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.02,0.02475247524752475
DUC_3_2014,2.776004039061461,0.8009854521283405,DUC,3,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.15,0.22761760242792106
DUC_3_2015,2.733183342648365,0.7750720108080462,DUC,3,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.15,0.23771790808240886
DUC_3_2016,2.91285990719094,0.7843822214485855,DUC,3,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.1,0.13071895424836602
DUC_4_2014,1.7496570932246311,0.5746901620908919,DUC,4,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.5,1.2755102040816326
DUC_4_2015,2.2846628427152234,0.7012262577408501,DUC,4,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.3,0.5025125628140703
DUC_4_2016,2.6738271390889614,0.7715034307515939,DUC,4,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.15,0.19685039370078738
DUC_5_2014,1.6597188832921388,0.5986170505488342,DUC,3,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.5,1.2468827930174562
DUC_5_2015,1.9531048327717706,0.6633198536600977,DUC,3,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.25,0.3644314868804665
DUC_5_2016,2.2468366930786727,0.7069850962318912,DUC,3,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.2,0.3169572107765452
DUC_6_2014,1.8332927410287392,0.6769788611313654,DUC,4,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.4,0.9411764705882353
DUC_6_2015,2.6053290674250347,0.773715526929364,DUC,4,1,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.15,0.3024193548387097
DUC_6_2016,2.8614227520142737,0.7984952224773403,DUC,4,2,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.1,0.1663893510815308
HIG_0_2014,0.544995130320153,0.20125001009890187,HIG,0,0,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.7,9.72222222222222
HIG_0_2015,0.9865425993389314,0.314637033717693,HIG,0,1,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.65,4.545454545454545
HIG_0_2016,1.3805788835642385,0.440306627437081,HIG,0,2,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.5,2.4154589371980677
HIG_1_2014,0.4390411605664379,0.17116952398660434,HIG,1,0,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.6,12.5
HIG_1_2015,0.7656975146119229,0.2649131595339337,HIG,1,1,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.7,6.306306306306306
HIG_1_2016,1.2721651097020175,0.432056876947799,HIG,1,2,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.5,2.7472527472527473
HIG_1_2017,1.8656751959338267,0.572627352861306,HIG,1,3,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.3,1.3392857142857142
HIG_2_2014,0.5200972415356007,0.2093025271512605,HIG,2,0,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.6,9.836065573770492
HIG_2_2015,1.0459436490143,0.3963322953528961,HIG,2,1,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.65,3.170731707317073
HIG_2_2016,1.446818655108677,0.4680681928314366,HIG,2,2,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.5,2.272727272727273
HIG_2_2017,2.102092676304542,0.6308414354177848,HIG,2,3,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.25,1.0729613733905579
HIG_3_2014,0.8384555653868987,0.3096159609765125,HIG,3,0,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,10.3,0.6,5.1724137931034475
