Releve number,Background_plots,site,treatment,value,year,redlisted,PC1,PC2,PC3
133,282324,LET,3,0.6833935841962611,3,12,0.0400773837874314,1.21641847888886,0.470009825626944
160,282365,LET,4,0.6122794564815008,0,13,0.0400773837874314,1.21641847888886,0.470009825626944
117,282365,LET,4,0.7180634049559282,1,13,0.0400773837874314,1.21641847888886,0.470009825626944
124,282365,LET,4,0.6504210187459561,2,13,0.0400773837874314,1.21641847888886,0.470009825626944
134,282365,LET,4,0.7137642008513265,3,13,0.0400773837874314,1.21641847888886,0.470009825626944
43,120372,LOM,0,0.8755108324112683,0,2,-0.627543808076658,-0.16258646897405,1.11501720592328
60,545515,LOM,0,0.9210029499936824,1,3,-0.627543808076658,-0.16258646897405,1.11501720592328
75,545515,LOM,0,0.8554729628154354,2,3,-0.627543808076658,-0.16258646897405,1.11501720592328
90,120372,LOM,0,0.8699591604100729,3,2,-0.627543808076658,-0.16258646897405,1.11501720592328
108,119468,LOM,1,0.9090869109723722,0,5,-0.627543808076658,-0.16258646897405,1.11501720592328
61,119468,LOM,1,0.8712608215223772,1,5,-0.627543808076658,-0.16258646897405,1.11501720592328
114,114112,LOM,1,0.8449981802871478,2,1,-0.627543808076658,-0.16258646897405,1.11501720592328
91,114112,LOM,1,0.8319425510194071,3,1,-0.627543808076658,-0.16258646897405,1.11501720592328
109,120372,LOM,2,0.8700815372696822,0,2,-0.627543808076658,-0.16258646897405,1.11501720592328
112,407845,LOM,2,0.8345926177727193,1,4,-0.627543808076658,-0.16258646897405,1.11501720592328
115,114112,LOM,2,0.7239741287728249,2,1,-0.627543808076658,-0.16258646897405,1.11501720592328
19,114112,LOM,2,0.737024357412552,3,1,-0.627543808076658,-0.16258646897405,1.11501720592328
110,347537,LOM,3,0.8413569377789896,0,2,-0.627543808076658,-0.16258646897405,1.11501720592328
62,162822,LOM,3,0.8037059859034856,1,0,-0.627543808076658,-0.16258646897405,1.11501720592328
76,347537,LOM,3,0.7250628836256745,2,2,-0.627543808076658,-0.16258646897405,1.11501720592328
20,347537,LOM,3,0.7278619183848141,3,2,-0.627543808076658,-0.16258646897405,1.11501720592328
111,347537,LOM,4,0.8832104881923954,0,2,-0.627543808076658,-0.16258646897405,1.11501720592328
113,119468,LOM,4,0.8518357715409939,1,5,-0.627543808076658,-0.16258646897405,1.11501720592328
77,114112,LOM,4,0.7909497143153401,2,1,-0.627543808076658,-0.16258646897405,1.11501720592328
21,114112,LOM,4,0.7615852782791791,3,1,-0.627543808076658,-0.16258646897405,1.11501720592328
257,452425,MIK,0,0.8810242610671257,0,6,-1.23210748324072,0.299492039292589,0.414194717687703
262,452425,MIK,0,0.8978754754828476,1,6,-1.23210748324072,0.299492039292589,0.414194717687703
267,452425,MIK,0,0.8588861055597228,2,6,-1.23210748324072,0.299492039292589,0.414194717687703
272,452425,MIK,0,0.8613704385603659,3,6,-1.23210748324072,0.299492039292589,0.414194717687703
258,452425,MIK,1,0.8795014012963777,0,6,-1.23210748324072,0.299492039292589,0.414194717687703
263,417788,MIK,1,0.8711606797719219,1,10,-1.23210748324072,0.299492039292589,0.414194717687703
268,452425,MIK,1,0.8488244855787066,2,6,-1.23210748324072,0.299492039292589,0.414194717687703
273,452425,MIK,1,0.8236485207328256,3,6,-1.23210748324072,0.299492039292589,0.414194717687703
259,452425,MIK,2,0.9071804595812892,0,6,-1.23210748324072,0.299492039292589,0.414194717687703
264,502047,MIK,2,0.9057414306104338,1,11,-1.23210748324072,0.299492039292589,0.414194717687703
269,452425,MIK,2,0.8487624930489569,2,6,-1.23210748324072,0.299492039292589,0.414194717687703
274,452425,MIK,2,0.8545627440560976,3,6,-1.23210748324072,0.299492039292589,0.414194717687703
260,502047,MIK,3,0.9036922829664237,0,11,-1.23210748324072,0.299492039292589,0.414194717687703
265,417788,MIK,3,0.9436735023421469,1,10,-1.23210748324072,0.299492039292589,0.414194717687703
270,452425,MIK,3,0.867597222212932,2,6,-1.23210748324072,0.299492039292589,0.414194717687703
275,452425,MIK,3,0.8565798357344907,3,6,-1.23210748324072,0.299492039292589,0.414194717687703
261,417788,MIK,4,0.935879924609441,0,10,-1.23210748324072,0.299492039292589,0.414194717687703
266,502047,MIK,4,0.911856140714597,1,11,-1.23210748324072,0.299492039292589,0.414194717687703
271,452425,MIK,4,0.930669315389608,2,6,-1.23210748324072,0.299492039292589,0.414194717687703
276,417790,MIK,4,0.8940294625103206,3,11,-1.23210748324072,0.299492039292589,0.414194717687703
143,209559,POD,1,0.7855446775474931,0,2,-0.0997066515810458,1.07496341243323,1.11079875865322
173,282327,POD,1,0.7724882406837912,1,2,-0.0997066515810458,1.07496341243323,1.11079875865322
119,282327,POD,1,0.754561034987287,2,2,-0.0997066515810458,1.07496341243323,1.11079875865322
128,282274,POD,1,0.6832516460902996,3,2,-0.0997066515810458,1.07496341243323,1.11079875865322
144,209567,POD,2,0.8241711916154035,0,3,-0.0997066515810458,1.07496341243323,1.11079875865322
145,282274,POD,2,0.7787713768072666,1,2,-0.0997066515810458,1.07496341243323,1.11079875865322
120,282274,POD,2,0.7797206303933414,2,2,-0.0997066515810458,1.07496341243323,1.11079875865322
127,282274,POD,2,0.7310436516250233,3,2,-0.0997066515810458,1.07496341243323,1.11079875865322
147,209567,POD,3,0.7854554396369812,0,3,-0.0997066515810458,1.07496341243323,1.11079875865322
146,282327,POD,3,0.7749600181216858,1,2,-0.0997066515810458,1.07496341243323,1.11079875865322
140,282274,POD,3,0.7592892253713153,2,2,-0.0997066515810458,1.07496341243323,1.11079875865322
142,282274,POD,3,0.7195949056588832,3,2,-0.0997066515810458,1.07496341243323,1.11079875865322
148,282327,POD,4,0.838596702364767,0,2,-0.0997066515810458,1.07496341243323,1.11079875865322
174,282274,POD,4,0.7667211634963457,1,2,-0.0997066515810458,1.07496341243323,1.11079875865322
177,282274,POD,4,0.7593240720377173,2,2,-0.0997066515810458,1.07496341243323,1.11079875865322
141,282274,POD,4,0.7044837958966768,3,2,-0.0997066515810458,1.07496341243323,1.11079875865322
44,545515,SKL,0,0.839296531582675,0,3,0.117140388824162,-0.169566228009489,-0.158759092750167
63,119468,SKL,0,0.8708202009562955,1,5,0.117140388824162,-0.169566228009489,-0.158759092750167
78,119474,SKL,0,0.8605469971399063,2,7,0.117140388824162,-0.169566228009489,-0.158759092750167
92,404471,SKL,0,0.8442381470483249,3,2,0.117140388824162,-0.169566228009489,-0.158759092750167
